"","orig.ident","nCount_RNA","nFeature_RNA","percent.mt","new.ident","integrated_snn_res.0.8","seurat_clusters"
"cell_139_3","cell",6836,3451,0.336454066705676,"t3","2","2"
"cell_140_3","cell",6817,3323,0.220038139944257,"t3","7","7"
"cell_141_3","cell",6813,3378,0.0880669308674593,"t3","7","7"
"cell_142_3","cell",6762,3177,0.754214729370009,"t3","3","3"
"cell_143_3","cell",6761,3184,0.192279248631859,"t3","4","4"
"cell_144_3","cell",6733,3333,0.341601069359869,"t3","2","2"
"cell_145_3","cell",6714,3128,0.357462019660411,"t3","2","2"
"cell_146_3","cell",6705,3211,0.0447427293064877,"t3","4","4"
"cell_147_3","cell",6689,3173,0.373747944386306,"t3","2","2"
"cell_148_3","cell",6687,2893,0.388814116943323,"t3","7","7"
"cell_149_3","cell",6676,2945,0.134811264230078,"t3","7","7"
"cell_150_3","cell",6670,3229,1.06446776611694,"t3","2","2"
"cell_151_3","cell",6661,2642,0.360306260321273,"t3","2","2"
"cell_152_3","cell",6646,2823,0.331026181161601,"t3","7","7"
"cell_153_3","cell",6631,3125,0.180968179761725,"t3","2","2"
"cell_154_3","cell",6611,2972,0.257147178944184,"t3","8","8"
"cell_155_3","cell",6585,3518,0.0455580865603645,"t3","8","8"
"cell_156_3","cell",6592,2961,0.743325242718447,"t3","13","13"
"cell_157_3","cell",6586,2816,0.394776799271181,"t3","4","4"
"cell_158_3","cell",6581,2888,1.18523020817505,"t3","13","13"
"cell_159_3","cell",6574,3029,0.38028597505324,"t3","13","13"
"cell_160_3","cell",6556,3228,0.167785234899329,"t3","12","12"
"cell_161_3","cell",6543,3145,0.519639309185389,"t3","4","4"
"cell_162_3","cell",6521,3231,0.153350713080816,"t3","3","3"
"cell_163_3","cell",6533,3128,0.352058778509108,"t3","2","2"
"cell_164_3","cell",6518,3204,0.0460263884627186,"t3","2","2"
"cell_165_3","cell",6514,3178,0.475898065704636,"t3","7","7"
"cell_166_3","cell",6511,2750,0.41468284441714,"t3","3","3"
"cell_167_3","cell",6455,3143,0.139426800929512,"t3","2","2"
"cell_168_3","cell",6427,3129,0.466780768632332,"t3","8","8"
"cell_169_3","cell",6368,2994,0.596733668341708,"t3","2","2"
"cell_170_3","cell",6363,2975,0.738645293100739,"t3","3","3"
"cell_171_3","cell",6325,3257,0.379446640316206,"t3","5","5"
"cell_172_3","cell",6321,3100,0.363866476823287,"t3","2","2"
"cell_173_3","cell",6316,3005,0.459151361621279,"t3","2","2"
"cell_174_3","cell",6303,3335,0.2855782960495,"t3","2","2"
"cell_175_3","cell",6316,2819,0.300823305889804,"t3","2","2"
"cell_176_3","cell",6293,2900,0.429048148736692,"t3","10","10"
"cell_177_3","cell",6301,2923,0.111093477225837,"t3","9","9"
"cell_178_3","cell",6305,2962,0.206185567010309,"t3","2","2"
"cell_179_3","cell",6285,2907,0.175019888623707,"t3","9","9"
"cell_180_3","cell",6288,2850,0.318066157760814,"t3","3","3"
"cell_181_3","cell",6271,3084,0.159464200287036,"t3","1","1"
"cell_182_3","cell",6260,2671,0.463258785942492,"t3","3","3"
"cell_183_3","cell",6215,2730,0.289621882542237,"t3","3","3"
"cell_184_3","cell",6216,3251,1.3030888030888,"t3","5","5"
"cell_185_3","cell",6206,2925,0.257815017724782,"t3","1","1"
"cell_186_3","cell",6209,3030,0.209373490095023,"t3","2","2"
"cell_187_3","cell",6194,3215,0.226025185663545,"t3","7","7"
"cell_188_3","cell",6184,2864,0.0485122897800776,"t3","4","4"
"cell_189_3","cell",6179,2955,0.275125424826024,"t3","7","7"
"cell_190_3","cell",6174,3157,0.0647878198898607,"t3","2","2"
"cell_191_3","cell",6173,2633,0.599384416005184,"t3","13","13"
"cell_192_3","cell",6151,2649,0.357665420256869,"t3","10","10"
"cell_193_3","cell",6138,3098,0.228087324861518,"t3","2","2"
"cell_194_3","cell",6121,2947,0.114360398627675,"t3","8","8"
"cell_195_3","cell",6125,2945,0.212244897959184,"t3","4","4"
"cell_196_3","cell",6094,2662,0.082047915982934,"t3","4","4"
"cell_197_3","cell",6089,3217,0.0164230579733946,"t3","8","8"
"cell_198_3","cell",6086,2968,0.657246138678935,"t3","1","1"
"cell_199_3","cell",6067,3131,0.379100049447833,"t3","8","8"
"cell_200_3","cell",6063,2902,0.313376216394524,"t3","4","4"
"cell_201_3","cell",6047,3074,0.21498263601786,"t3","1","1"
"cell_202_3","cell",6050,2838,0.264462809917355,"t3","2","2"
"cell_203_3","cell",6037,3106,0.165645188007288,"t3","2","2"
"cell_204_3","cell",6039,2658,0.877628746481206,"t3","2","2"
"cell_205_3","cell",6021,2790,0.97990367048663,"t3","1","1"
"cell_206_3","cell",6024,2455,0.398406374501992,"t3","1","1"
"cell_207_3","cell",6018,2999,0.265869059488202,"t3","2","2"
"cell_208_3","cell",5989,3140,0.20036734012356,"t3","2","2"
"cell_209_3","cell",5978,2756,0.184008029441285,"t3","0","0"
"cell_210_3","cell",5985,2900,0.200501253132832,"t3","1","1"
"cell_211_3","cell",5957,3166,0.201443679704549,"t3","8","8"
"cell_212_3","cell",5960,2859,1.05704697986577,"t3","13","13"
"cell_213_3","cell",5949,2790,0.353000504286435,"t3","2","2"
"cell_214_3","cell",5946,2654,0.134544231416078,"t3","4","4"
"cell_215_3","cell",5940,2890,0.31986531986532,"t3","13","13"
"cell_216_3","cell",5943,2761,0.370183409052667,"t3","2","2"
"cell_217_3","cell",5908,2915,0.287745429925525,"t3","5","5"
"cell_218_3","cell",5864,2770,0.255798090040928,"t3","8","8"
"cell_219_3","cell",5829,2939,0.12008920912678,"t3","12","12"
"cell_220_3","cell",5812,2897,0.206469373709566,"t3","1","1"
"cell_221_3","cell",5804,3027,0.740868366643694,"t3","2","2"
"cell_222_3","cell",5808,2714,0.447658402203857,"t3","1","1"
"cell_223_3","cell",5786,2665,0.190114068441065,"t3","8","8"
"cell_224_3","cell",5785,2907,0.224719101123596,"t3","2","2"
"cell_225_3","cell",5784,2388,0.311203319502075,"t3","4","4"
"cell_226_3","cell",5769,2787,0.329346507193621,"t3","2","2"
"cell_227_3","cell",5765,2858,0.0867302688638335,"t3","8","8"
"cell_228_3","cell",5753,2617,0.330262471753868,"t3","1","1"
"cell_229_3","cell",5748,2758,0.12178148921364,"t3","13","13"
"cell_230_3","cell",5738,2939,0.540257929592192,"t3","3","3"
"cell_231_3","cell",5749,2924,1.16542007305618,"t3","7","7"
"cell_232_3","cell",5747,3103,0.121802679658952,"t3","13","13"
"cell_233_3","cell",5740,2850,0.313588850174216,"t3","4","4"
"cell_234_3","cell",5735,2635,0.592850915431561,"t3","3","3"
"cell_235_3","cell",5704,3051,0.82398316970547,"t3","5","5"
"cell_236_3","cell",5708,2814,0.245269796776454,"t3","13","13"
"cell_237_3","cell",5653,3173,0.159207500442243,"t3","8","8"
"cell_238_3","cell",5670,2958,0.105820105820106,"t3","2","2"
"cell_239_3","cell",5664,2730,0.494350282485876,"t3","7","7"
"cell_240_3","cell",5646,2703,0.26567481402763,"t3","9","9"
"cell_241_3","cell",5628,2836,0.159914712153518,"t3","3","3"
"cell_242_3","cell",5620,2374,0.355871886120996,"t3","2","2"
"cell_243_3","cell",5614,2764,0.21375133594585,"t3","4","4"
"cell_244_3","cell",5620,2559,0.551601423487544,"t3","3","3"
"cell_245_3","cell",5610,2918,0.106951871657754,"t3","8","8"
"cell_246_3","cell",5600,2854,0.214285714285714,"t3","1","1"
"cell_247_3","cell",5597,2816,0.250134000357334,"t3","8","8"
"cell_248_3","cell",5595,2566,0.500446827524575,"t3","2","2"
"cell_249_3","cell",5596,2689,0.857755539671194,"t3","2","2"
"cell_250_3","cell",5579,2685,0.69905000896218,"t3","1","1"
"cell_251_3","cell",5557,2838,0.0179953212164837,"t3","1","1"
"cell_252_3","cell",5561,2634,0.0539471318108254,"t3","4","4"
"cell_253_3","cell",5546,2546,0.0901550667147494,"t3","9","9"
"cell_254_3","cell",5514,2597,0.181356546971346,"t3","7","7"
"cell_255_3","cell",5494,2904,0.218420094648708,"t3","4","4"
"cell_256_3","cell",5504,2919,0.490552325581395,"t3","1","1"
"cell_257_3","cell",5492,3010,0.145666423889294,"t3","8","8"
"cell_258_3","cell",5474,2658,0.566313481914505,"t3","13","13"
"cell_259_3","cell",5485,2387,0.0364630811303555,"t3","4","4"
"cell_260_3","cell",5464,2749,0.603953147877013,"t3","9","9"
"cell_261_3","cell",5462,2865,0.329549615525449,"t3","4","4"
"cell_262_3","cell",5467,2505,0.0731662703493689,"t3","4","4"
"cell_263_3","cell",5463,2229,0.109829763866008,"t3","9","9"
"cell_264_3","cell",5463,2821,0.146439685154677,"t3","7","7"
"cell_265_3","cell",5463,2417,1.88541094636647,"t3","3","3"
"cell_266_3","cell",5464,2727,0.366032210834553,"t3","1","1"
"cell_267_3","cell",5460,2637,1.0989010989011,"t3","2","2"
"cell_268_3","cell",5442,2649,0.882028665931643,"t3","1","1"
"cell_269_3","cell",5456,2848,0.183284457478006,"t3","3","3"
"cell_270_3","cell",5448,2846,0.0734214390602056,"t3","4","4"
"cell_271_3","cell",5426,2872,0.0921489126428308,"t3","3","3"
"cell_272_3","cell",5427,2664,0.810761009765985,"t3","3","3"
"cell_273_3","cell",5421,2594,0.645637336284818,"t3","2","2"
"cell_274_3","cell",5412,2706,0.129342202512934,"t3","4","4"
"cell_275_3","cell",5408,2711,0.480769230769231,"t3","1","1"
"cell_276_3","cell",5406,2688,0.0369959304476508,"t3","0","0"
"cell_277_3","cell",5396,3074,0.277983691623425,"t3","8","8"
"cell_278_3","cell",5378,2727,0.241725548531052,"t3","1","1"
"cell_279_3","cell",5380,2685,0.241635687732342,"t3","7","7"
"cell_280_3","cell",5366,3205,0.16772269847186,"t3","8","8"
"cell_281_3","cell",5371,2621,0.0930925339787749,"t3","7","7"
"cell_282_3","cell",5370,2517,0.409683426443203,"t3","9","9"
"cell_283_3","cell",5323,2586,0.826601540484689,"t3","1","1"
"cell_284_3","cell",5323,2817,0.206650385121172,"t3","1","1"
"cell_285_3","cell",5312,2584,0.545933734939759,"t3","3","3"
"cell_286_3","cell",5305,2547,0.395852968897267,"t3","1","1"
"cell_287_3","cell",5297,2713,0.0755144421370587,"t3","4","4"
"cell_288_3","cell",5293,2753,0.13225014169658,"t3","8","8"
"cell_289_3","cell",5296,2617,0.0377643504531722,"t3","3","3"
"cell_290_3","cell",5290,2536,0.756143667296786,"t3","3","3"
"cell_291_3","cell",5286,2779,0.170261066969353,"t3","7","7"
"cell_292_3","cell",5275,2902,0.0758293838862559,"t3","3","3"
"cell_293_3","cell",5271,2696,0.512236767216847,"t3","3","3"
"cell_294_3","cell",5274,2344,0.341296928327645,"t3","7","7"
"cell_295_3","cell",5259,2776,0.437345502947328,"t3","3","3"
"cell_296_3","cell",5260,2442,0.228136882129278,"t3","4","4"
"cell_297_3","cell",5260,2886,0.114068441064639,"t3","2","2"
"cell_298_3","cell",5257,2316,0.646756705345254,"t3","3","3"
"cell_299_3","cell",5256,2365,0.60882800608828,"t3","1","1"
"cell_300_3","cell",5246,2530,0.304994281357225,"t3","1","1"
"cell_301_3","cell",5241,2696,0.629650829994276,"t3","3","3"
"cell_302_3","cell",5236,2467,0.993124522536287,"t3","8","8"
"cell_303_3","cell",5231,2924,0.0382336073408526,"t3","3","3"
"cell_304_3","cell",5226,2547,0.248756218905473,"t3","3","3"
"cell_305_3","cell",5214,2947,0.498657460682777,"t3","9","9"
"cell_306_3","cell",5223,2143,1.34022592379858,"t3","1","1"
"cell_307_3","cell",5209,3121,0.115185256287195,"t3","11","11"
"cell_308_3","cell",5213,2440,0.306924995204297,"t3","4","4"
"cell_309_3","cell",5214,2560,0.0958956655159187,"t3","4","4"
"cell_310_3","cell",5196,2751,0.538876058506544,"t3","2","2"
"cell_311_3","cell",5177,2898,0.309059300753332,"t3","4","4"
"cell_312_3","cell",5182,3007,0.0578927055191046,"t3","8","8"
"cell_313_3","cell",5170,2668,0.154738878143133,"t3","3","3"
"cell_314_3","cell",5166,2818,0.2710027100271,"t3","9","9"
"cell_315_3","cell",5146,2584,0.388651379712398,"t3","2","2"
"cell_316_3","cell",5146,2826,0.252623396813059,"t3","7","7"
"cell_317_3","cell",5138,2856,0.0583884780070066,"t3","3","3"
"cell_318_3","cell",5134,2551,0.214257888585898,"t3","2","2"
"cell_319_3","cell",5125,2733,0.214634146341463,"t3","4","4"
"cell_320_3","cell",5122,2760,0.351425224521671,"t3","2","2"
"cell_321_3","cell",5128,2634,0.46801872074883,"t3","3","3"
"cell_322_3","cell",5116,2717,1.29007036747459,"t3","3","3"
"cell_323_3","cell",5105,2845,0.176297747306562,"t3","8","8"
"cell_324_3","cell",5106,2733,0.215432824128476,"t3","1","1"
"cell_325_3","cell",5105,2679,0.940254652301665,"t3","3","3"
"cell_326_3","cell",5096,2566,0.098116169544741,"t3","8","8"
"cell_327_3","cell",5063,2815,0.355520442425439,"t3","8","8"
"cell_328_3","cell",5052,2323,0,"t3","4","4"
"cell_329_3","cell",5037,2662,0.238237045860631,"t3","1","1"
"cell_330_3","cell",5034,2181,0.317838696861343,"t3","2","2"
"cell_331_3","cell",5019,2649,0.119545726240287,"t3","7","7"
"cell_332_3","cell",5006,2667,0.13983220135837,"t3","3","3"
"cell_333_3","cell",5004,2714,0.159872102318145,"t3","13","13"
"cell_334_3","cell",5001,2431,1.0997800439912,"t3","2","2"
"cell_335_3","cell",5006,2450,0.519376747902517,"t3","13","13"
"cell_336_3","cell",4987,2630,0.38099057549629,"t3","2","2"
"cell_337_3","cell",4960,2541,0.141129032258065,"t3","4","4"
"cell_338_3","cell",4966,2515,0.906161900926299,"t3","3","3"
"cell_339_3","cell",4966,2578,0.865888038662908,"t3","2","2"
"cell_340_3","cell",4948,2772,0.101050929668553,"t3","7","7"
"cell_341_3","cell",4947,2540,0.141499898928644,"t3","2","2"
"cell_342_3","cell",4938,2722,0.121506682867558,"t3","4","4"
"cell_343_3","cell",4936,2720,0.162074554294976,"t3","8","8"
"cell_344_3","cell",4930,2661,0.283975659229209,"t3","4","4"
"cell_345_3","cell",4914,2587,0.854700854700855,"t3","2","2"
"cell_346_3","cell",4914,2531,0.162800162800163,"t3","7","7"
"cell_347_3","cell",4900,2439,0.36734693877551,"t3","4","4"
"cell_348_3","cell",4897,2512,0.122523994282214,"t3","5","5"
"cell_349_3","cell",4879,2104,0.594384095101455,"t3","8","8"
"cell_350_3","cell",4863,2585,0.143944067448077,"t3","2","2"
"cell_351_3","cell",4858,2092,0.370522848909016,"t3","3","3"
"cell_352_3","cell",4849,2496,0.329964941224995,"t3","1","1"
"cell_353_3","cell",4854,2369,0.123609394313968,"t3","7","7"
"cell_354_3","cell",4851,2458,0.659657802514945,"t3","13","13"
"cell_355_3","cell",4848,2586,0.247524752475248,"t3","4","4"
"cell_356_3","cell",4853,2417,0.144240675870595,"t3","1","1"
"cell_357_3","cell",4839,2643,0.0413308534821244,"t3","4","4"
"cell_358_3","cell",4837,2500,0.124043828819516,"t3","3","3"
"cell_359_3","cell",4832,2565,0.0827814569536424,"t3","1","1"
"cell_360_3","cell",4820,2404,0.20746887966805,"t3","2","2"
"cell_361_3","cell",4819,2436,0.560282216227433,"t3","3","3"
"cell_362_3","cell",4813,2161,0.186993559110742,"t3","4","4"
"cell_363_3","cell",4806,2688,0.104036620890553,"t3","1","1"
"cell_364_3","cell",4793,2128,0.0625912789484665,"t3","4","4"
"cell_365_3","cell",4796,2421,0.312760633861551,"t3","3","3"
"cell_366_3","cell",4796,2491,0.0834028356964137,"t3","8","8"
"cell_367_3","cell",4788,2528,0.271512113617377,"t3","2","2"
"cell_368_3","cell",4775,2374,0.209424083769634,"t3","10","10"
"cell_369_3","cell",4783,2533,1.06627639556764,"t3","5","5"
"cell_370_3","cell",4790,2381,0.501043841336117,"t3","2","2"
"cell_371_3","cell",4777,2397,0.14653548252041,"t3","1","1"
"cell_372_3","cell",4772,2468,0.314333612740989,"t3","1","1"
"cell_373_3","cell",4773,2595,0.230463021160696,"t3","7","7"
"cell_374_3","cell",4774,2280,0.523669878508588,"t3","7","7"
"cell_375_3","cell",4767,2532,0.146842878120411,"t3","4","4"
"cell_376_3","cell",4765,2204,0.377754459601259,"t3","3","3"
"cell_377_3","cell",4758,2492,0.399327448507776,"t3","7","7"
"cell_378_3","cell",4756,2434,0.294365012615643,"t3","3","3"
"cell_379_3","cell",4749,2537,0.210570646451885,"t3","3","3"
"cell_380_3","cell",4744,2772,0.21079258010118,"t3","8","8"
"cell_381_3","cell",4735,2461,1.01372756071806,"t3","3","3"
"cell_382_3","cell",4740,2258,0.0210970464135021,"t3","4","4"
"cell_383_3","cell",4707,2605,0.552368812407053,"t3","7","7"
"cell_384_3","cell",4695,2309,0.362087326943557,"t3","0","0"
"cell_385_3","cell",4687,2389,0.341369746106251,"t3","1","1"
"cell_386_3","cell",4686,2369,0.149381135296628,"t3","11","11"
"cell_387_3","cell",4677,2407,0.513149454778704,"t3","7","7"
"cell_388_3","cell",4658,2228,0.665521683125805,"t3","3","3"
"cell_389_3","cell",4642,2673,0.430848772081,"t3","7","7"
"cell_390_3","cell",4630,2686,0.215982721382289,"t3","4","4"
"cell_391_3","cell",4639,2258,0.711360206941151,"t3","1","1"
"cell_392_3","cell",4636,2601,0.172562553925798,"t3","3","3"
"cell_393_3","cell",4629,2479,0.0432058759991359,"t3","7","7"
"cell_394_3","cell",4621,2271,0.346245401428262,"t3","1","1"
"cell_395_3","cell",4615,2425,0.47670639219935,"t3","3","3"
"cell_396_3","cell",4611,2504,0.216872695727608,"t3","8","8"
"cell_397_3","cell",4605,2150,0.521172638436482,"t3","0","0"
"cell_398_3","cell",4598,2389,3.04480208786429,"t3","1","1"
"cell_399_3","cell",4585,2286,0.218102508178844,"t3","4","4"
"cell_400_3","cell",4583,2507,0.370936068077678,"t3","8","8"
"cell_401_3","cell",4580,2456,0.305676855895196,"t3","2","2"
"cell_402_3","cell",4575,2529,0.349726775956284,"t3","3","3"
"cell_403_3","cell",4562,2487,0.416483998246383,"t3","2","2"
"cell_404_3","cell",4553,2430,0.636942675159236,"t3","1","1"
"cell_405_3","cell",4543,2473,0.0660356592559982,"t3","2","2"
"cell_406_3","cell",4531,2315,1.3021408077687,"t3","5","5"
"cell_407_3","cell",4503,1891,1.17699311570064,"t3","12","12"
"cell_408_3","cell",4491,2381,0.178134045869517,"t3","1","1"
"cell_409_3","cell",4495,2501,0.533926585094549,"t3","2","2"
"cell_410_3","cell",4491,2296,0.378534847472723,"t3","3","3"
"cell_411_3","cell",4492,2145,0.756901157613535,"t3","2","2"
"cell_412_3","cell",4488,2378,0.289661319073084,"t3","4","4"
"cell_413_3","cell",4484,1887,0.0892060660124889,"t3","4","4"
"cell_414_3","cell",4470,2482,0.87248322147651,"t3","0","0"
"cell_415_3","cell",4468,2407,0.962399283795882,"t3","3","3"
"cell_416_3","cell",4473,2383,1.11781801922647,"t3","8","8"
"cell_417_3","cell",4467,2316,0.447727781508843,"t3","13","13"
"cell_418_3","cell",4450,2288,0.853932584269663,"t3","4","4"
"cell_419_3","cell",4450,2272,0.179775280898876,"t3","4","4"
"cell_420_3","cell",4450,2163,1.1685393258427,"t3","3","3"
"cell_421_3","cell",4440,2359,0.495495495495495,"t3","10","10"
"cell_422_3","cell",4406,2432,0.113481615978212,"t3","5","5"
"cell_423_3","cell",4418,2502,0.248981439565414,"t3","8","8"
"cell_424_3","cell",4419,1976,0.0452591083955646,"t3","6","6"
"cell_425_3","cell",4410,2409,0.385487528344671,"t3","3","3"
"cell_426_3","cell",4412,2392,0.634632819582956,"t3","3","3"
"cell_427_3","cell",4397,2403,2.00136456675006,"t3","3","3"
"cell_428_3","cell",4400,2158,0.318181818181818,"t3","3","3"
"cell_429_3","cell",4387,1901,0.182356963756553,"t3","6","6"
"cell_430_3","cell",4399,2439,0.841100250056831,"t3","2","2"
"cell_431_3","cell",4385,2331,0.866590649942988,"t3","2","2"
"cell_432_3","cell",4389,2180,0.387331966279335,"t3","7","7"
"cell_433_3","cell",4378,2322,0.114207400639561,"t3","8","8"
"cell_434_3","cell",4373,2174,0.274411159387148,"t3","1","1"
"cell_435_3","cell",4368,1958,0.595238095238095,"t3","4","4"
"cell_436_3","cell",4354,2639,0.321543408360129,"t3","14","14"
"cell_437_3","cell",4349,2488,0.367900666819959,"t3","1","1"
"cell_438_3","cell",4357,2160,0.413128299288501,"t3","2","2"
"cell_439_3","cell",4353,2530,0.0918906501263496,"t3","3","3"
"cell_440_3","cell",4340,2126,0.32258064516129,"t3","7","7"
"cell_441_3","cell",4338,2518,0.230520977408944,"t3","13","13"
"cell_442_3","cell",4339,2243,0.507029269416916,"t3","1","1"
"cell_443_3","cell",4332,2031,0.43859649122807,"t3","3","3"
"cell_444_3","cell",4317,2323,0.486448922863099,"t3","5","5"
"cell_445_3","cell",4316,2437,1.08897126969416,"t3","11","11"
"cell_446_3","cell",4313,2218,0.579642939948991,"t3","3","3"
"cell_447_3","cell",4306,2429,0.16256386437529,"t3","2","2"
"cell_448_3","cell",4302,2394,0.743840074384007,"t3","4","4"
"cell_449_3","cell",4301,2106,0.162752848174843,"t3","7","7"
"cell_450_3","cell",4293,2604,0.232937339855579,"t3","5","5"
"cell_451_3","cell",4295,2113,0.30267753201397,"t3","2","2"
"cell_452_3","cell",4285,2206,0.44340723453909,"t3","8","8"
"cell_453_3","cell",4256,1999,0.493421052631579,"t3","0","0"
"cell_454_3","cell",4243,2610,0.0707046900777752,"t3","8","8"
"cell_455_3","cell",4240,2419,0.400943396226415,"t3","2","2"
"cell_456_3","cell",4230,2242,0.898345153664303,"t3","5","5"
"cell_457_3","cell",4234,2173,1.36986301369863,"t3","3","3"
"cell_458_3","cell",4231,2115,0.330891042306783,"t3","1","1"
"cell_459_3","cell",4233,2539,0.23623907394283,"t3","8","8"
"cell_460_3","cell",4229,2180,0.212816268621423,"t3","7","7"
"cell_461_3","cell",4213,2150,0.284832660811773,"t3","4","4"
"cell_462_3","cell",4193,2074,0.286191271166229,"t3","4","4"
"cell_463_3","cell",4193,2265,0.286191271166229,"t3","7","7"
"cell_464_3","cell",4183,2170,0.167344011475018,"t3","7","7"
"cell_465_3","cell",4192,2141,0.333969465648855,"t3","3","3"
"cell_466_3","cell",4177,2430,0.215465645199904,"t3","3","3"
"cell_467_3","cell",4185,2181,0.38231780167264,"t3","1","1"
"cell_468_3","cell",4185,2468,0.31063321385902,"t3","13","13"
